id,module,title,severity,classification,description,why_blocks,recommended_fix,effort_estimate,priority,status
BLK-001,funding,fund_wallet RPC missing from version-controlled migrations,CRITICAL,PARTIALLY_IMPLEMENTED,capture-order.js calls fund_wallet RPC but no SQL migration exists in supabase/sql/,PayPal capture succeeds but wallet credit fails unless RPC applied manually outside repo,Add fund_wallet SQL migration aligned with wallet_balance and transaction insert,2-3 days,P0,open
BLK-002,wallet,balance vs wallet_balance column split,CRITICAL,PARTIALLY_IMPLEMENTED,transfer_funds uses balance; create_withdrawal_request uses wallet_balance,Users may see incorrect balances; send and withdraw operate on different columns,Unify to single column migrate all RPCs backfill data,3-5 days,P0,open
BLK-003,kyc,KYC enforcement advisory-only by default,CRITICAL,PARTIALLY_IMPLEMENTED,Funding and send have no server KYC hard blocks; withdrawal RPC bypassable,Regulated live-money requires enforced identity verification before money movement,Enable hard_block mode; add KYC gate to withdrawal RPC and fund/send APIs,5-7 days,P0,open
BLK-004,aml_controls,No sanctions/PEP screening or SAR workflow,CRITICAL,PROTOTYPE,AML policy pages are placeholders; no vendor or SAR process,Required for MSB/fintech compliance before handling customer funds,Integrate sanctions vendor; implement SAR case workflow,2-4 weeks,P0,open
BLK-005,security,fraud_logs RLS allows all authenticated users,CRITICAL,READY_WITH_MINOR_WORK,fraud_logs policies use USING (true) for any authenticated user,Fraud data leak and tampering risk by malicious users,Replace with admin-only RLS via tc_is_admin(),1-2 days,P0,open
BLK-006,authorization,Single hardcoded admin email RBAC,CRITICAL,PARTIALLY_IMPLEMENTED,ADMIN_EMAILS hardcoded in adminAccess.js and tc_is_admin() SQL,Not scalable; no role separation for ops/compliance/treasury,Move to env/DB-backed roles table with granular permissions,3-5 days,P0,open
BLK-007,production_configuration,Legal documents are draft placeholders,CRITICAL,PARTIALLY_IMPLEMENTED,Terms privacy AML KYC risk disclosure marked draft in audit tooling,Cannot launch externally without legally reviewed policies,Complete legal review update pages track version/effective date,1-2 weeks,P0,open
BLK-008,fraud_controls,Send money bypasses server-side gates,CRITICAL,PARTIALLY_IMPLEMENTED,send-money.jsx calls transfer_funds RPC without server KYC/fraud checks,Client trust layer bypassable; high-risk transfers possible,Add POST /api/send/check-limit mirroring withdrawal gate,3-4 days,P0,open
BLK-009,environment_configuration,PayPal defaults to sandbox mode,HIGH,PARTIALLY_IMPLEMENTED,NEXT_PUBLIC_PAYPAL_MODE unset defaults to sandbox,Real money cannot flow without explicit live cutover,Live PayPal cutover checklist; fail deploy if sandbox in production,2-3 days,P1,open
BLK-010,environment_configuration,No .env.example or deployment runbook,HIGH,PARTIALLY_IMPLEMENTED,Zero env template files; README is boilerplate,Deployment errors and secret omissions in production,Add .env.example with all public vs server vars,1 day,P1,open
BLK-011,authentication,2FA/MFA not enforced,HIGH,READY_WITH_MINOR_WORK,security_settings schema exists but 2FA not enforced in app,Required for production OAuth wallet and financial security,Implement TOTP/SMS 2FA with enforcement for financial actions,1-2 weeks,P1,open
BLK-012,security,Account security guard fail-open,HIGH,READY_WITH_MINOR_WORK,serverAccountSecurityGuard allows if account_security_status missing,Frozen accounts may perform financial actions during migration gaps,Fail-closed for financial actions when status unverified,1-2 days,P1,open
BLK-013,ledger,Internal ledger not connected to money flows,HIGH,PROTOTYPE,Ledger observation-only; no auto-posting from fund/withdraw/send,Cannot reconcile treasury or produce auditable financial statements,Wire journal entries to money RPCs or designate transactions as SOA,1-2 weeks,P1,open
BLK-014,monitoring,No external APM or alerting,HIGH,PARTIALLY_IMPLEMENTED,No Sentry Datadog PagerDuty or uptime monitoring,Production incidents may go undetected,Add Sentry uptime checks PagerDuty/Slack alerts,3-5 days,P1,open
BLK-015,webhooks,No production webhook delivery pipeline,HIGH,PARTIALLY_IMPLEMENTED,Only developer.test events; signing key mismatch for verifier,Third-party integrators cannot receive real events,Build delivery worker with encrypted secret storage and retries,1-2 weeks,P2,open
BLK-016,security,Legacy tropicash-api Python sidecar,HIGH,PROTOTYPE,tropicash-api/main.py exposes wallet mutations with API_SECRET_KEY,Parallel path bypasses Next.js security if deployed,Remove or isolate behind internal network,1-2 days,P1,open
BLK-017,transactions,Transaction type mismatch send vs send_money,MEDIUM,READY_WITH_MINOR_WORK,transfer_funds inserts send but fraud queries send_money,Fraud correlation may miss send transactions,Standardize on send_money across RPC and queries,0.5 day,P2,open
BLK-018,security,No CSRF protection on API routes,MEDIUM,READY_WITH_MINOR_WORK,No CSRF tokens on state-changing routes,XSS/CSRF risk for browser-initiated requests,Add CSRF tokens for browser API calls,2-3 days,P2,open
BLK-019,security,No security headers CSP HSTS,MEDIUM,READY_WITH_MINOR_WORK,next.config.mjs only sets poweredByHeader false,Reduced defense-in-depth against XSS,Add helmet-style headers in next.config.mjs,1 day,P2,open
BLK-020,sdk,SDK not published to npm,MEDIUM,PROTOTYPE,@tropicash/sdk private UNLICENSED no CI tests,External developers cannot install official SDK,Publish to npm with TypeScript types and tests,3-5 days,P2,open
BLK-021,notifications,No email/push notification delivery,MEDIUM,PARTIALLY_IMPLEMENTED,In-app only; no FCM or transactional email,Users miss alerts when offline,Add SendGrid/Resend email optional FCM push,1 week,P2,open
BLK-022,pwa,PWA offline shell only,LOW,READY_WITH_MINOR_WORK,Service worker excludes wallet/API routes,Limited mobile app-like experience,Accept as v1 limitation or expand offline,informational,P3,open
BLK-023,qr_payments,QR payments not implemented,LOW,NOT_STARTED,No QR generation scanning or payment flows,Feature gap not required for wallet-only Private Alpha,Defer to post-Private Alpha roadmap,4-6 weeks,P3,open
BLK-024,payment_links,Payment links not implemented,LOW,NOT_STARTED,No shareable checkout URLs,Feature gap defer unless required for launch,Implement after merchant checkout foundation,3-4 weeks,P3,open
BLK-025,merchant_platform,Merchant checkout simulation only,LOW,SIMULATION_ONLY,Developer catalog has planned contracts only,External merchant integrations not possible,Phase 5 roadmap; not blocking wallet Private Alpha,6-8 weeks,P3,open
BLK-026,reporting,No scheduled report exports,LOW,READY_WITH_MINOR_WORK,Reporting read-only admin UI no CSV/PDF export,Operational inconvenience not launch blocker,Add export endpoints for reconciliation reports,3-5 days,P3,open
